epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,39.2673,0.99688,2.78832,1.08023,0.96873,0.92848,0.96532,0.78063,0.57816,0.44962,0.86939,0.00165127,0.000550425,0.00165127,0.000550425,0.00165127,0.000550425,0.00165127,0.000550425
2,68.4447,0.60922,0.55819,0.8796,0.9693,0.97718,0.98434,0.8324,0.50807,0.34891,0.84198,0.0032909,0.00109697,0.0032909,0.00109697,0.0032909,0.00109697,0.0032909,0.00109697
3,93.9817,0.57682,0.48061,0.87412,0.98077,0.95035,0.98617,0.828,0.53752,0.39912,0.83674,0.00490302,0.00163434,0.00490302,0.00163434,0.00490302,0.00163434,0.00490302,0.00163434
4,119.095,0.56289,0.45762,0.86142,0.97542,0.97646,0.98541,0.84084,0.52323,0.37241,0.80404,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
5,144.106,0.55333,0.43792,0.86286,0.9811,0.97365,0.98639,0.85413,0.50031,0.34221,0.82843,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199
6,169.227,0.525,0.42381,0.86008,0.9709,0.97933,0.98644,0.85205,0.4945,0.36631,0.81942,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824
7,194.232,0.52377,0.40348,0.85201,0.97207,0.98063,0.99263,0.85674,0.47485,0.34593,0.81831,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
8,219.339,0.52811,0.3989,0.85514,0.97936,0.98354,0.99229,0.87005,0.47416,0.32495,0.81646,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073
9,244.367,0.50956,0.38292,0.85122,0.97215,0.98834,0.99065,0.85716,0.46863,0.31422,0.82108,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698
10,269.492,0.51763,0.38792,0.84763,0.98933,0.97855,0.992,0.86197,0.46478,0.32759,0.80278,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
11,294.512,0.50407,0.37264,0.84813,0.98311,0.97553,0.98851,0.86627,0.4651,0.32287,0.81835,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947
12,319.635,0.49254,0.37395,0.85445,0.98417,0.95579,0.99263,0.87212,0.47421,0.33029,0.81754,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572
13,342.997,0.49442,0.36578,0.85242,0.97969,0.99032,0.99135,0.88469,0.44205,0.31194,0.8178,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
14,362.798,0.47163,0.36548,0.84644,0.97934,0.98714,0.99298,0.89257,0.42141,0.29103,0.81609,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821
