epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.6634,0.49837,0.33823,0.84921,0.96439,0.96249,0.98317,0.87195,0.45571,0.29201,0.80044,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215
2,128.927,0.58437,0.40084,0.86307,0.97604,0.93973,0.98235,0.82462,0.55596,0.37397,0.83167,0.0198676,0.00662254,0.0198676,0.00662254,0.0198676,0.00662254,0.0198676,0.00662254
3,180.493,0.68199,0.52487,0.89429,0.94961,0.88527,0.93524,0.7586,0.67264,0.53437,0.86815,0.0296698,0.00988993,0.0296698,0.00988993,0.0296698,0.00988993,0.0296698,0.00988993
4,229.977,0.75198,0.57458,0.92168,0.82124,0.71403,0.73917,0.55871,0.88655,1.42179,1.00155,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,279.364,0.73186,0.55553,0.91645,0.9648,0.92415,0.97672,0.80824,0.59403,0.48448,0.86382,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,329.52,0.69836,0.5178,0.91447,0.94951,0.93484,0.97013,0.80506,0.63434,0.45677,0.8743,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,380.606,0.67164,0.49365,0.90645,0.9455,0.95388,0.97707,0.83222,0.55545,0.41656,0.85398,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,431.408,0.64496,0.46634,0.89531,0.9725,0.92072,0.97626,0.82253,0.58254,0.42769,0.85723,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,481.394,0.6278,0.45274,0.8913,0.97158,0.97251,0.9872,0.83921,0.54363,0.37878,0.84504,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,532.44,0.62143,0.44406,0.89229,0.95324,0.97215,0.98622,0.85258,0.52264,0.35078,0.84794,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,583.064,0.60736,0.42892,0.89316,0.96988,0.98438,0.98968,0.85966,0.51042,0.35087,0.84876,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,633.003,0.59131,0.41579,0.88587,0.96341,0.97917,0.98737,0.86901,0.47943,0.33553,0.83625,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,683.148,0.58161,0.40866,0.88116,0.96607,0.9811,0.98951,0.8653,0.49291,0.34218,0.83748,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,732.984,0.57257,0.40239,0.87548,0.97191,0.97035,0.98677,0.864,0.49951,0.34854,0.84151,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,782.627,0.56719,0.39529,0.87727,0.97194,0.97842,0.98862,0.87005,0.47274,0.3289,0.82613,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,832.362,0.55877,0.38991,0.87581,0.96812,0.97618,0.98626,0.87491,0.48048,0.32056,0.83365,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,881.845,0.55689,0.3783,0.87307,0.97545,0.98149,0.99036,0.87941,0.4634,0.31619,0.83083,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,931.432,0.54032,0.37513,0.86664,0.97922,0.98165,0.99352,0.88891,0.44463,0.3105,0.82398,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,981.034,0.5475,0.37357,0.87128,0.97318,0.97374,0.9891,0.88709,0.44703,0.2975,0.82619,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1030.67,0.53576,0.36925,0.86699,0.98836,0.98489,0.9943,0.88572,0.44183,0.29679,0.81767,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1080.4,0.52287,0.36047,0.86617,0.97707,0.98361,0.99331,0.88929,0.43981,0.29377,0.82669,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1129.9,0.52445,0.36111,0.8628,0.96986,0.97369,0.99124,0.88989,0.44545,0.30149,0.82282,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1186.52,0.52298,0.35391,0.85954,0.98083,0.96996,0.99019,0.88522,0.45219,0.29356,0.83013,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1236.01,0.5204,0.34955,0.85913,0.96555,0.98291,0.99264,0.89932,0.40727,0.27932,0.8174,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1290.78,0.51409,0.34617,0.86375,0.96461,0.97638,0.98785,0.88652,0.43175,0.29536,0.82295,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1340.54,0.51447,0.34596,0.86036,0.98185,0.97812,0.9913,0.88693,0.44482,0.28995,0.82033,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1390.09,0.51739,0.34653,0.8599,0.97758,0.98361,0.99211,0.90244,0.42664,0.2787,0.81815,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1439.71,0.49118,0.33691,0.85289,0.97694,0.98685,0.99188,0.90141,0.41587,0.28082,0.81846,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1489.34,0.4949,0.33156,0.8537,0.97432,0.988,0.99213,0.90579,0.41213,0.27499,0.80937,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1541.36,0.50166,0.33495,0.85431,0.97972,0.98012,0.9911,0.90131,0.4224,0.27518,0.81136,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1592.43,0.49455,0.33008,0.85387,0.99363,0.98082,0.99452,0.89997,0.42536,0.27077,0.81506,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1649.15,0.48667,0.32531,0.85021,0.98797,0.98018,0.99416,0.9063,0.40472,0.26829,0.81239,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
